time,baro_asl,acc_x,acc_y,acc_z,qw,qx,qy,qz,ref_z
0.03510594367980957,115.4375,-0.00598907470703125,-0.006328582763671875,1.0009765625,1.0,-0.0036640167236328125,0.0024738311767578125,-0.0112457275390625,0.003551483154296875
0.05536818504333496,115.4375,-0.006122589111328125,-0.010894775390625,1.0009765625,1.0,-0.0036678314208984375,0.002468109130859375,-0.01125335693359375,0.0032253265380859375
0.07547760009765625,115.5,-0.00705718994140625,-0.0084075927734375,1.0009765625,1.0,-0.0036716461181640625,0.0024585723876953125,-0.0112457275390625,0.0033473968505859375
0.09540629386901855,115.5,-0.0037937164306640625,-0.006740570068359375,1.0,1.0,-0.0036716461181640625,0.00246429443359375,-0.0112457275390625,0.0034770965576171875
0.1142876148223877,115.4375,-0.003574371337890625,-0.0090179443359375,1.001953125,1.0,-0.00366973876953125,0.0024394989013671875,-0.01125335693359375,0.00360870361328125
0.13611316680908203,115.4375,-0.007190704345703125,-0.006160736083984375,1.001953125,1.0,-0.00368499755859375,0.0024967193603515625,-0.01125335693359375,0.0031337738037109375
0.1543567180633545,115.4375,-0.005779266357421875,-0.005466461181640625,1.0,1.0,-0.0037059783935546875,0.002513885498046875,-0.0112457275390625,0.003265380859375
0.17451000213623047,115.5,-0.0044708251953125,-0.00811767578125,1.00390625,1.0,-0.00370025634765625,0.0025081634521484375,-0.01125335693359375,0.0034008026123046875
0.19530487060546875,115.5625,-0.00443267822265625,-0.007289886474609375,1.0,1.0,-0.003688812255859375,0.002521514892578125,-0.01123809814453125,0.003543853759765625
0.21517395973205566,115.625,-0.0063323974609375,-0.0074310302734375,1.0009765625,1.0,-0.0037021636962890625,0.0025463104248046875,-0.01123046875,0.0036945343017578125
0.23464322090148926,115.625,-0.00566864013671875,-0.0072174072265625,1.0,1.0,-0.003711700439453125,0.0025653839111328125,-0.0112152099609375,0.003849029541015625
0.25446629524230957,115.5625,-0.005786895751953125,-0.00943756103515625,1.0,1.0,-0.00372314453125,0.0025539398193359375,-0.01122283935546875,0.004009246826171875
0.2747211456298828,115.5625,-0.00615692138671875,-0.004970550537109375,1.00390625,1.0,-0.0037364959716796875,0.0025424957275390625,-0.01123046875,0.00417327880859375
0.29451847076416016,115.5,-0.0059967041015625,-0.010589599609375,1.0029296875,1.0,-0.003726959228515625,0.0025348663330078125,-0.01123046875,0.004344940185546875
0.3142993450164795,115.5625,-0.003574371337890625,-0.0087127685546875,1.001953125,1.0,-0.00366973876953125,0.002529144287109375,-0.01123046875,0.004421234130859375
0.33513975143432617,115.5625,-0.00469207763671875,-0.0079345703125,1.001953125,1.0,-0.00366973876953125,0.0025234222412109375,-0.01125335693359375,0.00429534912109375
0.3540217876434326,115.625,-0.0059814453125,-0.00745391845703125,1.0009765625,1.0,-0.0036773681640625,0.0025119781494140625,-0.0112457275390625,0.003589630126953125
0.37459588050842285,115.625,-0.004642486572265625,-0.00858306884765625,1.0009765625,1.0,-0.0036716461181640625,0.002521514892578125,-0.011260986328125,0.0034656524658203125
0.3953235149383545,115.5625,-0.0011806488037109375,-0.00818634033203125,1.0009765625,1.0,-0.0036773681640625,0.002536773681640625,-0.01125335693359375,0.0034427642822265625
0.413954496383667,115.5625,-0.0049896240234375,-0.0093994140625,0.99853515625,1.0,-0.0036754608154296875,0.0025196075439453125,-0.01126861572265625,0.002887725830078125
0.4339478015899658,115.5625,-0.005031585693359375,-0.00794219970703125,1.0,1.0,-0.0036792755126953125,0.0024967193603515625,-0.01129150390625,0.002399444580078125
0.45527148246765137,115.5625,-0.007678985595703125,-0.0062713623046875,0.99951171875,1.0,-0.0036830902099609375,0.0024814605712890625,-0.01128387451171875,0.002063751220703125
0.4743075370788574,115.5,-0.007144927978515625,-0.0086822509765625,1.0009765625,1.0,-0.00370025634765625,0.002498626708984375,-0.01129913330078125,0.0017862319946289062
0.49515271186828613,115.5,-0.004718780517578125,-0.00653076171875,1.0009765625,1.0,-0.003696441650390625,0.002471923828125,-0.01129150390625,0.001422882080078125
0.5139906406402588,115.5,-0.005847930908203125,-0.005947113037109375,1.001953125,1.0,-0.0037078857421875,0.00247955322265625,-0.011199951171875,0.0015468597412109375
0.5339107513427734,115.5,-0.00469970703125,-0.006496429443359375,1.001953125,1.0,-0.003711700439453125,0.0024871826171875,-0.01123046875,0.0013418197631835938
0.5539600849151611,115.5,-0.005855560302734375,-0.00911712646484375,1.001953125,1.0,-0.0037097930908203125,0.002483367919921875,-0.01116180419921875,0.0014791488647460938
0.5754795074462891,115.5,-0.00545501708984375,-0.0085296630859375,1.001953125,1.0,-0.0036945343017578125,0.0024509429931640625,-0.01116943359375,0.001312255859375
0.5942914485931396,115.5,-0.0047149658203125,-0.00591278076171875,1.001953125,1.0,-0.003688812255859375,0.0024127960205078125,-0.01116180419921875,0.00147247314453125
0.6147010326385498,115.5,-0.006244659423828125,-0.006435394287109375,1.0009765625,1.0,-0.0036945343017578125,0.0023956298828125,-0.01116180419921875,0.0016374588012695312
0.6343855857849121,115.5,-0.00507354736328125,-0.0060577392578125,1.0029296875,1.0,-0.0037059783935546875,0.0023555755615234375,-0.0111846923828125,0.0018091201782226562
0.654606819152832,115.4375,-0.0065460205078125,-0.0092315673828125,1.001953125,1.0,-0.0037078857421875,0.00232696533203125,-0.01117706298828125,0.0019893646240234375
0.6753392219543457,115.4375,-0.004886627197265625,-0.009033203125,1.0009765625,1.0,-0.0037078857421875,0.0023174285888671875,-0.0111846923828125,0.0021800994873046875
0.6954147815704346,115.5,-0.0027027130126953125,-0.00894927978515625,1.001953125,1.0,-0.003704071044921875,0.0023288726806640625,-0.01119232177734375,0.002376556396484375
0.714177131652832,115.4375,-0.0056304931640625,-0.00444793701171875,1.0009765625,1.0,-0.003681182861328125,0.002315521240234375,-0.01117706298828125,0.0025806427001953125
0.7341387271881104,115.375,-0.004085540771484375,-0.0098419189453125,1.0009765625,1.0,-0.0036773681640625,0.002288818359375,-0.01117706298828125,0.0027923583984375
0.7543163299560547,115.5,-0.005428314208984375,-0.0088348388671875,1.0,1.0,-0.0036754608154296875,0.002300262451171875,-0.0111846923828125,0.003009796142578125
0.7746577262878418,115.5,-0.006336212158203125,-0.00704193115234375,1.0009765625,1.0,-0.0036716461181640625,0.0022830963134765625,-0.01119232177734375,0.003231048583984375
0.7946138381958008,115.5,-0.00399017333984375,-0.0069122314453125,1.0,1.0,-0.0036754608154296875,0.002269744873046875,-0.01117706298828125,0.0034542083740234375
0.8146052360534668,115.5,-0.0064697265625,-0.00719451904296875,1.0009765625,1.0,-0.0036716461181640625,0.002277374267578125,-0.01116943359375,0.0036773681640625
0.8342854976654053,115.5,-0.0061492919921875,-0.007404327392578125,1.0,1.0,-0.0036640167236328125,0.002269744873046875,-0.01116943359375,0.00390625
0.8543314933776855,115.5625,-0.004314422607421875,-0.008544921875,1.001953125,1.0,-0.003658294677734375,0.002262115478515625,-0.0111846923828125,0.004138946533203125
0.8751158714294434,115.5625,-0.004955291748046875,-0.009307861328125,1.0,1.0,-0.00337982177734375,0.002410888671875,-0.01305389404296875,0.01300048828125
0.895115852355957,115.5,-0.00470733642578125,-0.007568359375,1.0009765625,1.0,-0.003383636474609375,0.002414703369140625,-0.0130615234375,0.0133209228515625
0.9152865409851074,115.5625,-0.0072784423828125,-0.00730133056640625,1.001953125,1.0,-0.0033893585205078125,0.00241851806640625,-0.01306915283203125,0.013641357421875
0.9340255260467529,115.5625,-0.003704071044921875,-0.01081085205078125,1.001953125,1.0,-0.0034122467041015625,0.0024089813232421875,-0.0130462646484375,0.01396942138671875
0.9541726112365723,115.5,-0.00640869140625,-0.006465911865234375,1.001953125,1.0,-0.0034027099609375,0.00240325927734375,-0.01305389404296875,0.01430511474609375
0.9746427536010742,115.5,-0.00592041015625,-0.00897979736328125,1.0029296875,1.0,-0.003391265869140625,0.0023822784423828125,-0.0130615234375,0.01464080810546875
0.9940440654754639,115.4375,-0.006061553955078125,-0.007320404052734375,1.001953125,1.0,-0.003398895263671875,0.002361297607421875,-0.01305389404296875,0.01499176025390625
1.015336513519287,115.5,-0.00548553466796875,-0.00861358642578125,1.001953125,1.0,-0.0034122467041015625,0.0023441314697265625,-0.0130462646484375,0.015350341796875
1.0344793796539307,115.5625,-0.005458831787109375,-0.00664520263671875,1.0029296875,1.0,-0.003414154052734375,0.0023365020751953125,-0.01306915283203125,0.0157318115234375
1.055156946182251,115.5625,-0.00482940673828125,-0.00540924072265625,1.0029296875,1.0,-0.0034236907958984375,0.0023555755615234375,-0.0130615234375,0.01611328125
1.074510097503662,115.5625,-0.00334930419921875,-0.009552001953125,1.001953125,1.0,-0.003429412841796875,0.0023651123046875,-0.0130615234375,0.0164947509765625
1.0953426361083984,115.5625,-0.006252288818359375,-0.005725860595703125,1.0009765625,1.0,-0.0034427642822265625,0.002361297607421875,-0.01306915283203125,0.0168914794921875
1.1153922080993652,115.5,-0.00551605224609375,-0.00872039794921875,0.99951171875,1.0,-0.0034580230712890625,0.002346038818359375,-0.0130615234375,0.017303466796875
1.1344058513641357,115.5625,-0.005382537841796875,-0.00901031494140625,1.001953125,1.0,-0.003475189208984375,0.002346038818359375,-0.0130767822265625,0.0177154541015625
1.1539027690887451,115.625,-0.004802703857421875,-0.00939178466796875,1.0,1.0,-0.0037326812744140625,0.0023651123046875,-0.01442718505859375,0.0192413330078125
1.174069881439209,115.625,-0.007030487060546875,-0.006130218505859375,1.0,1.0,-0.0037403106689453125,0.0023956298828125,-0.01535797119140625,0.0196990966796875
1.1939935684204102,115.625,-0.0027675628662109375,-0.007656097412109375,1.0029296875,1.0,-0.0037441253662109375,0.00241851806640625,-0.0160980224609375,0.0201263427734375
1.2152705192565918,115.5625,-0.0050811767578125,-0.00762939453125,0.99951171875,1.0,-0.0037441253662109375,0.0024242401123046875,-0.01666259765625,0.02056884765625
1.2346997261047363,115.5625,-0.005496978759765625,-0.00827789306640625,1.0009765625,1.0,-0.0037517547607421875,0.00243377685546875,-0.017181396484375,0.02099609375
1.2540011405944824,115.5,-0.0065765380859375,-0.0096893310546875,1.0029296875,1.0,-0.00376129150390625,0.00246429443359375,-0.017608642578125,0.0214385986328125
1.274430751800537,115.5,-0.004180908203125,-0.00902557373046875,1.001953125,1.0,-0.0037708282470703125,0.002498626708984375,-0.017608642578125,0.0218963623046875
1.294344425201416,115.4375,-0.00429534912109375,-0.006633758544921875,1.00390625,1.0,-0.0037841796875,0.0024738311767578125,-0.017608642578125,0.0223541259765625
1.3137938976287842,115.5,-0.007232666015625,-0.00847625732421875,1.001953125,1.0,-0.003787994384765625,0.0024356842041015625,-0.017608642578125,0.0228271484375
1.3341915607452393,115.4375,-0.005054473876953125,-0.00888824462890625,1.0009765625,1.0,-0.0037994384765625,0.0024127960205078125,-0.0176239013671875,0.0233154296875
1.3543336391448975,115.5,-0.002811431884765625,-0.005931854248046875,1.0,1.0,-0.004070281982421875,0.0023937225341796875,-0.0187225341796875,0.01500701904296875
1.3746423721313477,115.5,-0.00324249267578125,-0.00737762451171875,1.0009765625,1.0,-0.00406646728515625,0.00241851806640625,-0.018707275390625,0.0150909423828125
1.394444227218628,115.5,-0.006031036376953125,-0.00850677490234375,1.001953125,1.0,-0.004077911376953125,0.002422332763671875,-0.0186920166015625,0.01519012451171875
1.4144625663757324,115.5625,-0.00620269775390625,-0.00775909423828125,1.0,1.0,-0.004016876220703125,0.00244903564453125,-0.0187530517578125,0.01507568359375
1.4339485168457031,115.5,-0.0055389404296875,-0.006038665771484375,1.0,1.0,-0.00400543212890625,0.002445220947265625,-0.0186614990234375,0.0151214599609375
1.454667329788208,115.5625,-0.0048980712890625,-0.004474639892578125,1.0029296875,1.0,-0.004009246826171875,0.00246429443359375,-0.0186614990234375,0.01519775390625
1.473862648010254,115.5625,-0.006378173828125,-0.007587432861328125,1.00390625,1.0,-0.004009246826171875,0.0025005340576171875,-0.0182342529296875,0.01525115966796875
1.4940154552459717,115.5,-0.004611968994140625,-0.00899505615234375,0.99951171875,1.0,-0.003993988037109375,0.0024871826171875,-0.0178375244140625,0.01529693603515625
1.5142900943756104,115.5625,-0.00716400146484375,-0.008819580078125,0.99951171875,1.0,-0.00399017333984375,0.0024890899658203125,-0.017242431640625,0.015350341796875
1.5351910591125488,115.5625,-0.0057373046875,-0.00769805908203125,1.0009765625,1.0,-0.003993988037109375,0.0024871826171875,-0.017242431640625,0.01543426513671875
1.5545425415039062,115.5625,-0.004535675048828125,-0.00722503662109375,1.0029296875,1.0,-0.003997802734375,0.002468109130859375,-0.017242431640625,0.0155181884765625
1.5738706588745117,115.5,-0.006778717041015625,-0.008392333984375,0.99609375,1.0,-0.004009246826171875,0.002460479736328125,-0.0172271728515625,0.0156097412109375
1.5938944816589355,115.5625,-0.006893157958984375,-0.007701873779296875,1.001953125,1.0,-0.00402069091796875,0.00243377685546875,-0.017242431640625,0.0157012939453125
1.6141719818115234,115.5,-0.005565643310546875,-0.007083892822265625,1.00390625,1.0,-0.004016876220703125,0.0024127960205078125,-0.017242431640625,0.0157928466796875
1.634190320968628,115.5,-0.00620269775390625,-0.007572174072265625,0.998046875,1.0,-0.003925323486328125,0.0024547576904296875,-0.0168304443359375,0.0157318115234375
1.654571771621704,115.5,-0.005950927734375,-0.006072998046875,1.00390625,1.0,-0.003902435302734375,0.0024871826171875,-0.0165557861328125,0.0157623291015625
1.6736667156219482,115.5,-0.00708770751953125,-0.00849151611328125,1.0009765625,1.0,-0.0038890838623046875,0.00251007080078125,-0.016357421875,0.0157928466796875
1.6942799091339111,115.4375,-0.0036945343017578125,-0.006046295166015625,1.0,1.0,-0.00388336181640625,0.00250244140625,-0.0163726806640625,0.015869140625
1.7140247821807861,115.5,-0.00634765625,-0.009033203125,1.0009765625,1.0,-0.003864288330078125,0.002506256103515625,-0.0164642333984375,0.0158843994140625
1.73435640335083,115.4375,-0.0034694671630859375,-0.007610321044921875,1.0029296875,1.0,-0.0038585662841796875,0.002559661865234375,-0.0166473388671875,0.0158843994140625
1.753824234008789,115.4375,-0.00823974609375,-0.00921630859375,1.0029296875,1.0,-0.0038356781005859375,0.0026111602783203125,-0.0168609619140625,0.0158843994140625
1.7744495868682861,115.4375,-0.005008697509765625,-0.00623321533203125,0.998046875,1.0,-0.0038509368896484375,0.00262451171875,-0.017181396484375,0.0158538818359375
1.793442726135254,115.4375,-0.006381988525390625,-0.009124755859375,1.001953125,1.0,-0.0038585662841796875,0.0026493072509765625,-0.0174407958984375,0.0158233642578125
1.8142869472503662,115.4375,-0.0051116943359375,-0.007534027099609375,1.001953125,1.0,-0.003948211669921875,0.0026531219482421875,-0.018157958984375,0.01412200927734375
1.8337249755859375,115.4375,-0.006072998046875,-0.006763458251953125,1.0029296875,1.0,-0.00395965576171875,0.002651214599609375,-0.0181732177734375,0.01410675048828125
1.854177713394165,115.5,-0.00440216064453125,-0.00789642333984375,1.0029296875,1.0,-0.003963470458984375,0.0026721954345703125,-0.0190887451171875,0.0139007568359375
1.8743281364440918,115.5,-0.0057830810546875,-0.006343841552734375,1.0009765625,1.0,-0.003963470458984375,0.0026226043701171875,-0.01910400390625,0.013885498046875
1.8935976028442383,115.5625,-0.00400543212890625,-0.006626129150390625,0.99951171875,1.0,-0.00396728515625,0.002651214599609375,-0.01910400390625,0.013885498046875
1.9149885177612305,115.5625,-0.005706787109375,-0.0080718994140625,1.0,1.0,-0.004001617431640625,0.0026035308837890625,-0.019195556640625,0.01390838623046875
1.933729648590088,115.5,-0.005123138427734375,-0.0082550048828125,1.0029296875,1.0,-0.003993988037109375,0.002620697021484375,-0.019195556640625,0.013916015625
1.9541051387786865,115.5,-0.005176544189453125,-0.00824737548828125,1.0029296875,1.0,-0.003993988037109375,0.0026264190673828125,-0.0191802978515625,0.0139007568359375
1.9742763042449951,115.5,-0.00478363037109375,-0.007061004638671875,1.0009765625,1.0,-0.003993988037109375,0.002597808837890625,-0.0191802978515625,0.013916015625
1.9938225746154785,115.5,-0.005931854248046875,-0.0084381103515625,1.001953125,1.0,-0.003993988037109375,0.0026092529296875,-0.0191802978515625,0.0139312744140625
2.013983726501465,115.5625,-0.006072998046875,-0.007160186767578125,0.99951171875,1.0,-0.0040130615234375,0.0026302337646484375,-0.0191802978515625,0.01395416259765625
2.034153461456299,115.625,-0.0048980712890625,-0.0072784423828125,0.99853515625,1.0,-0.004039764404296875,0.002716064453125,-0.0188751220703125,0.01396942138671875
2.054002285003662,115.5625,-0.007030487060546875,-0.0072174072265625,1.001953125,1.0,-0.004058837890625,0.0027179718017578125,-0.0184783935546875,0.01396942138671875
2.0735042095184326,115.5,-0.007328033447265625,-0.007656097412109375,1.0009765625,1.0,-0.004058837890625,0.0027065277099609375,-0.0180816650390625,0.0139617919921875
2.0944204330444336,115.4375,-0.006473541259765625,-0.006072998046875,1.0029296875,1.0,-0.004039764404296875,0.002685546875,-0.0176849365234375,0.0139617919921875
